node,nodeID,root node,root node ID,biodomain
GOBP_POSITIVE_REGULATION_OF_ACTIN_NUCLEATION,GO:0051127,biological_process,GO:0008150,"Structural Stabilization, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Intracellular Trafficking and Organelle Dynamics"
GOBP_CHAPERONE_MEDIATED_PROTEIN_COMPLEX_ASSEMBLY,GO:0051131,biological_process,GO:0008150,"Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Molecular Transport and Homeostasis, System and Developmental Process"
GOBP_NK_T_CELL_ACTIVATION,GO:0051132,biological_process,GO:0008150,"Immune System and Inflammation, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process"
GOBP_REGULATION_OF_NK_T_CELL_ACTIVATION,GO:0051133,,,"Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, System and Developmental Process"
GOBP_PROTEIN_INSERTION_INTO_MEMBRANE,GO:0051205,biological_process,GO:0008150,"Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process"
GOBP_MAINTENANCE_OF_LOCATION,GO:0051235,biological_process,GO:0008150,"Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, System and Developmental Process"
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS,GO:0051248,biological_process,GO:0008150,"Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process"
GOBP_CHROMOSOME_ORGANIZATION,GO:0051276,biological_process,GO:0008150,"DNA Repair, Epigenetic Regulation, Cell Cycle, Transcription and Translation Machinery, System and Developmental Process"
GOBP_CHROMOSOME_SEPARATION,GO:0051304,biological_process,GO:0008150,"Cell Cycle, DNA Repair, Structural Stabilization, Signal Transduction, System and Developmental Process"
GOBP_CHROMOSOME_MOVEMENT_TOWARDS_SPINDLE_POLE,GO:0051305,,,"Cell Cycle, Structural Stabilization, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, System and Developmental Process"
GOBP_NEGATIVE_REGULATION_OF_CYCLIC_NUCLEOTIDE_PHOSPHODIESTERASE_ACTIVITY,,,,"Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Protein Metabolism and Trafficking, System and Developmental Process"
GOBP_NEGATIVE_REGULATION_OF_TRANSFERASE_ACTIVITY,GO:0051348,,,"Signal Transduction, Protein Metabolism and Trafficking, Epigenetic Regulation, Response to Stimulus, Transcription and Translation Machinery"
GOBP_POSITIVE_REGULATION_OF_OXIDOREDUCTASE_ACTIVITY,GO:0051353,,,"Mitochondrial Function and Metabolism, Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus"
GOBP_KINETOCHORE_ASSEMBLY,GO:0051382,biological_process,GO:0008150,"Cell Cycle, Structural Stabilization, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process"
GOBP_KINETOCHORE_ORGANIZATION,GO:0051383,biological_process,GO:0008150,"Cell Cycle, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, System and Developmental Process"
GOBP_REGULATION_OF_NEUROTROPHIN_TRK_RECEPTOR_SIGNALING_PATHWAY,GO:0051386,biological_process,GO:0008150,"Neurodevelopment and Neuronal Differentiation, Signal Transduction, Neurotransmission and Synaptic Regulation, System and Developmental Process, Response to Stimulus"
GOBP_DETOXIFICATION_OF_NITROGEN_COMPOUND,GO:0051410,biological_process,GO:0008150,"Response to Stimulus, Lipid Metabolism, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, System and Developmental Process"
GOBP_NEGATIVE_REGULATION_OF_MEIOTIC_CELL_CYCLE,GO:0051447,biological_process,GO:0008150,"Cell Cycle, System and Developmental Process, Signal Transduction, Response to Stimulus, Epigenetic Regulation"
GOBP_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION,GO:0051480,biological_process,GO:0008150,"Molecular Transport and Homeostasis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, System and Developmental Process"
GOBP_POSITIVE_REGULATION_OF_MITOCHONDRIAL_CALCIUM_ION_CONCENTRATION,GO:0051561,biological_process,GO:0008150,"Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics"
GOBP_POSITIVE_REGULATION_OF_HISTONE_H3_K9_METHYLATION,,,,"Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, System and Developmental Process, Response to Stimulus"
GOBP_RESPONSE_TO_CAMP,GO:0051591,biological_process,GO:0008150,"Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, Epigenetic Regulation, Transcription and Translation Machinery"
GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS,GO:0051603,biological_process,GO:0008150,"Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Autophagy, Response to Stimulus, Molecular Transport and Homeostasis"
GOBP_NOREPINEPHRINE_UPTAKE,GO:0051620,biological_process,GO:0008150,"Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus"
GOBP_MAINTENANCE_OF_LOCATION_IN_CELL,,,,"Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, System and Developmental Process"
GOBP_MAINTENANCE_OF_CENTROSOME_LOCATION,GO:0051661,biological_process,GO:0008150,"Cell Cycle, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Molecular Transport and Homeostasis"
GOBP_ESTABLISHMENT_OF_GOLGI_LOCALIZATION,GO:0051683,biological_process,GO:0008150,"Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Molecular Transport and Homeostasis, System and Developmental Process, Cell Adhesion and Interaction"
GOBP_PROTEIN_DELIPIDATION,GO:0051697,biological_process,GO:0008150,"Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction"
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_SYMBIONT,GO:0051702,biological_process,GO:0008150,"Immune System and Inflammation, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process"
GOBP_NEGATIVE_REGULATION_OF_CELL_DIVISION,GO:0051782,biological_process,GO:0008150,"Cell Cycle, Signal Transduction, Response to Stimulus, System and Developmental Process, Epigenetic Regulation"
GOBP_NEGATIVE_REGULATION_OF_NUCLEAR_DIVISION,GO:0051784,,,"Cell Cycle, Signal Transduction, Response to Stimulus, System and Developmental Process, DNA Repair"
GOBP_RESPONSE_TO_MISFOLDED_PROTEIN,GO:0051788,biological_process,GO:0008150,"Response to Stimulus, Protein Metabolism and Trafficking, Autophagy, Intracellular Trafficking and Organelle Dynamics, Signal Transduction"
GOBP_MODULATION_BY_HOST_OF_SYMBIONT_PROCESS,,,,"Signal Transduction, Immune System and Inflammation, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis"
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_KINASE_B_SIGNALING,,,,"Signal Transduction, Apoptosis, Cell Cycle, Protein Metabolism and Trafficking, Response to Stimulus"
GOBP_ESTABLISHMENT_OF_PIGMENT_GRANULE_LOCALIZATION,GO:0051905,,,"Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, System and Developmental Process"
GOBP_NEGATIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT,GO:0051926,biological_process,GO:0008150,"Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Neurotransmission and Synaptic Regulation, Mitochondrial Function and Metabolism"
GOBP_CATECHOLAMINE_UPTAKE_INVOLVED_IN_SYNAPTIC_TRANSMISSION,GO:0051934,,,"Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus"
GOBP_GLUTAMATE_REUPTAKE,GO:0051935,biological_process,GO:0008150,"Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Gliogenesis and Glial Differentiation, System and Developmental Process, Response to Stimulus"
GOBP_REGULATION_OF_TELOMERASE_ACTIVITY,,,,"Cell Cycle, Transcription and Translation Machinery, Epigenetic Regulation, DNA Repair, Response to Stimulus"
GOBP_POSITIVE_REGULATION_OF_TELOMERASE_ACTIVITY,,,,"Cell Cycle, DNA Repair, Transcription and Translation Machinery, Signal Transduction, System and Developmental Process"
GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION,GO:0051983,biological_process,GO:0008150,"Cell Cycle, Epigenetic Regulation, DNA Repair, Signal Transduction, System and Developmental Process"
GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_SEGREGATION,GO:0051984,biological_process,GO:0008150,"Cell Cycle, Signal Transduction, Transcription and Translation Machinery, System and Developmental Process, Response to Stimulus"
GOBP_POSITIVE_REGULATION_OF_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE,GO:0051987,biological_process,GO:0008150,"Cell Cycle, Structural Stabilization, Signal Transduction, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics"
GOBP_ATRIAL_CARDIAC_MUSCLE_TISSUE_MORPHOGENESIS,GO:0055009,biological_process,GO:0008150,"System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus"
GOBP_ASYMMETRIC_NEUROBLAST_DIVISION,GO:0055059,biological_process,GO:0008150,"Neurodevelopment and Neuronal Differentiation, Cell Cycle, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction"
GOBP_SODIUM_ION_HOMEOSTASIS,GO:0055078,biological_process,GO:0008150,"Molecular Transport and Homeostasis, System and Developmental Process, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics"
GOBP_SERTOLI_CELL_DEVELOPMENT,GO:0060009,biological_process,GO:0008150,"System and Developmental Process, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Structural Stabilization"
GOBP_SERTOLI_CELL_PROLIFERATION,GO:0060011,biological_process,GO:0008150,"Cell Cycle, System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction"
GOBP_BERGMANN_GLIAL_CELL_DIFFERENTIATION,GO:0060020,biological_process,GO:0008150,"Gliogenesis and Glial Differentiation, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus"
GOBP_CONVERGENT_EXTENSION,GO:0060026,biological_process,GO:0008150,"System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Signal Transduction"
