node,nodeID,root node,root node ID,biodomain
alcohol sulfotransferase activity,GO:0004027,molecular_function,GO:0003674,"Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Autophagy"
3-chloroallyl aldehyde dehydrogenase activity,GO:0004028,molecular_function,GO:0003674,"Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis"
aldehyde dehydrogenase (NAD+) activity,GO:0004029,molecular_function,GO:0003674,"Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis"
aldehyde dehydrogenase [NAD(P)+] activity,GO:0004030,molecular_function,GO:0003674,"Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Apoptosis"
aldehyde oxidase activity,GO:0004031,molecular_function,GO:0003674,"Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Apoptosis"
aldose reductase (NADPH) activity,GO:0004032,molecular_function,GO:0003674,"Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Apoptosis, Vasculature"
aldose 1-epimerase activity,GO:0004034,molecular_function,GO:0003674,"Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Unknown"
alkaline phosphatase activity,GO:0004035,molecular_function,GO:0003674,"Lipid Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Endolysosome, Mitochondrial Metabolism"
allantoicase activity,GO:0004037,molecular_function,GO:0003674,"Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Unknown"
amidase activity,GO:0004040,molecular_function,GO:0003674,"Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis"
L-glutamate N-acetyltransferase activity,GO:0004042,molecular_function,GO:0003674,"Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress"
L-aminoadipate-semialdehyde dehydrogenase activity,GO:0004043,molecular_function,GO:0003674,"Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis"
amidophosphoribosyltransferase activity,GO:0004044,molecular_function,GO:0003674,"Cell Cycle, DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis"
peptidyl-tRNA hydrolase activity,GO:0004045,molecular_function,GO:0003674,"Proteostasis, Endolysosome, Autophagy, Apoptosis, Unknown"
aminoacylase activity,GO:0004046,molecular_function,GO:0003674,"Proteostasis, Endolysosome, Autophagy, Metal Binding and Homeostasis, Lipid Metabolism"
aminomethyltransferase activity,GO:0004047,molecular_function,GO:0003674,"Mitochondrial Metabolism, Epigenetic, Cell Cycle, Lipid Metabolism, Oxidative Stress"
apyrase activity,GO:0004050,molecular_function,GO:0003674,"Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress"
arachidonate 5-lipoxygenase activity,GO:0004051,molecular_function,GO:0003674,"Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Unknown"
arachidonate 12(S)-lipoxygenase activity,GO:0004052,molecular_function,GO:0003674,"Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Apoptosis"
arginase activity,GO:0004053,molecular_function,GO:0003674,"Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Apoptosis"
argininosuccinate synthase activity,GO:0004055,molecular_function,GO:0003674,"Mitochondrial Metabolism, Unknown, Oxidative Stress, Proteostasis, Lipid Metabolism"
argininosuccinate lyase activity,GO:0004056,molecular_function,GO:0003674,"Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress"
arginyl-tRNA--protein transferase activity,GO:0004057,molecular_function,GO:0003674,"Proteostasis, Autophagy, Endolysosome, Apoptosis, Unknown"
aromatic-L-amino-acid decarboxylase activity,GO:0004058,molecular_function,GO:0003674,"Mitochondrial Metabolism, Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism"
aralkylamine N-acetyltransferase activity,GO:0004059,molecular_function,GO:0003674,"Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism"
arylamine N-acetyltransferase activity,GO:0004060,molecular_function,GO:0003674,"Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Unknown"
arylformamidase activity,GO:0004061,molecular_function,GO:0003674,"Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy"
aryl sulfotransferase activity,GO:0004062,molecular_function,GO:0003674,"Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Proteostasis"
aryldialkylphosphatase activity,GO:0004063,molecular_function,GO:0003674,"Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome"
arylesterase activity,GO:0004064,molecular_function,GO:0003674,"Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Immune Response"
arylsulfatase activity,GO:0004065,molecular_function,GO:0003674,"Endolysosome, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis"
asparagine synthase (glutamine-hydrolyzing) activity,GO:0004066,molecular_function,GO:0003674,"Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy"
asparaginase activity,GO:0004067,molecular_function,GO:0003674,"Mitochondrial Metabolism, Proteostasis, Immune Response, Autophagy, Oxidative Stress"
aspartate 1-decarboxylase activity,GO:0004068,molecular_function,GO:0003674,"Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis"
L-aspartate:2-oxoglutarate aminotransferase activity,GO:0004069,molecular_function,GO:0003674,"Mitochondrial Metabolism, Unknown, Proteostasis, Lipid Metabolism, Oxidative Stress"
aspartate carbamoyltransferase activity,GO:0004070,molecular_function,GO:0003674,"Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Mitochondrial Metabolism, Epigenetic"
biliverdin reductase [NAD(P)H] activity,GO:0004074,molecular_function,GO:0003674,"Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Unknown"
biotin carboxylase activity,GO:0004075,molecular_function,GO:0003674,"Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy"
biotin--[biotin carboxyl-carrier protein] ligase activity,GO:0004077,molecular_function,GO:0003674,"Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Epigenetic, Metal Binding and Homeostasis"
bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity,GO:0004081,molecular_function,GO:0003674,"Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Cell Cycle, Metal Binding and Homeostasis"
bisphosphoglycerate mutase activity,GO:0004082,molecular_function,GO:0003674,"Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Unknown, Oxidative Stress"
branched-chain-amino-acid transaminase activity,GO:0004084,molecular_function,GO:0003674,"Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress"
carbamoyl-phosphate synthase (ammonia) activity,GO:0004087,molecular_function,GO:0003674,"Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis"
carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity,GO:0004088,molecular_function,GO:0003674,"Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis"
carbonate dehydratase activity,GO:0004089,molecular_function,GO:0003674,"Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Vasculature, Synapse"
carbonyl reductase (NADPH) activity,GO:0004090,molecular_function,GO:0003674,"Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis"
carnitine O-acetyltransferase activity,GO:0004092,molecular_function,GO:0003674,"Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy"
carnitine O-palmitoyltransferase activity,GO:0004095,molecular_function,GO:0003674,"Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis"
catalase activity,GO:0004096,molecular_function,GO:0003674,"Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Apoptosis"
cerebroside-sulfatase activity,GO:0004098,molecular_function,GO:0003674,"Lipid Metabolism, Myelination, Endolysosome, Proteostasis, Autophagy"
choline O-acetyltransferase activity,GO:0004102,molecular_function,GO:0003674,"Synapse, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy"
choline kinase activity,GO:0004103,molecular_function,GO:0003674,"Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy"
cholinesterase activity,GO:0004104,molecular_function,GO:0003674,"Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome"
choline-phosphate cytidylyltransferase activity,GO:0004105,molecular_function,GO:0003674,"Lipid Metabolism, Myelination, Structural Stabilization, Endolysosome, Autophagy"
coproporphyrinogen oxidase activity,GO:0004109,molecular_function,GO:0003674,"Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Unknown"
creatine kinase activity,GO:0004111,molecular_function,GO:0003674,"Mitochondrial Metabolism, Synapse, Oxidative Stress, Lipid Metabolism, Autophagy"
cyclic-nucleotide phosphodiesterase activity,GO:0004112,molecular_function,GO:0003674,"Synapse, Vasculature, Immune Response, Mitochondrial Metabolism, Oxidative Stress"
"2',3'-cyclic-nucleotide 3'-phosphodiesterase activity",GO:0004113,molecular_function,GO:0003674,"Myelination, Lipid Metabolism, Synapse, Structural Stabilization, Proteostasis"
"3',5'-cyclic-nucleotide phosphodiesterase activity",GO:0004114,molecular_function,GO:0003674,"Mitochondrial Metabolism, Vasculature, Synapse, Apoptosis, Oxidative Stress"
"3',5'-cyclic-AMP phosphodiesterase activity",GO:0004115,molecular_function,GO:0003674,"Synapse, Vasculature, Immune Response, Mitochondrial Metabolism, Lipid Metabolism"
"calmodulin-activated dual specificity 3',5'-cyclic-GMP, 3',5'-cyclic-AMP phosphodiesterase activity",GO:0004117,molecular_function,GO:0003674,"Synapse, Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress"
"3',5'-cGMP-stimulated cyclic-nucleotide phosphodiesterase activity",GO:0004118,molecular_function,GO:0003674,"Synapse, Vasculature, Cell Cycle, Epigenetic, Oxidative Stress"
"3',5'-cGMP-inhibited cyclic-nucleotide phosphodiesterase activity",GO:0004119,molecular_function,GO:0003674,"Vasculature, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Immune Response"
cystathionine beta-synthase activity,GO:0004122,molecular_function,GO:0003674,"Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Vasculature, Autophagy"
cystathionine gamma-lyase activity,GO:0004123,molecular_function,GO:0003674,"Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Immune Response"
cytidine deaminase activity,GO:0004126,molecular_function,GO:0003674,"Immune Response, Epigenetic, RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis"
"cytochrome-b5 reductase activity, acting on NAD(P)H",GO:0004128,molecular_function,GO:0003674,"Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis"
cytochrome-c oxidase activity,GO:0004129,molecular_function,GO:0003674,"Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy"
dCMP deaminase activity,GO:0004132,molecular_function,GO:0003674,"DNA Repair, Epigenetic, Metal Binding and Homeostasis, Immune Response, Cell Cycle"
4-alpha-glucanotransferase activity,GO:0004134,molecular_function,GO:0003674,"Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome, Lipid Metabolism"
"amylo-alpha-1,6-glucosidase activity",GO:0004135,molecular_function,GO:0003674,"Unknown, Autophagy, Endolysosome, Proteostasis, Lipid Metabolism"
deoxyadenosine kinase activity,GO:0004136,molecular_function,GO:0003674,"Mitochondrial Metabolism, DNA Repair, Cell Cycle, Epigenetic, Autophagy"
deoxycytidine kinase activity,GO:0004137,molecular_function,GO:0003674,"Mitochondrial Metabolism, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Lipid Metabolism"
deoxyguanosine kinase activity,GO:0004138,molecular_function,GO:0003674,"Mitochondrial Metabolism, DNA Repair, Cell Cycle, Apoptosis, Proteostasis"
