node,nodeID,root node,root node ID,biodomain
GOMF_KINASE_ACTIVITY,GO:0016301,molecular_function,GO:0003674,"Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Cell Cycle, Response to Stimulus"
GOMF_PHOSPHATIDYLINOSITOL_PHOSPHATE_KINASE_ACTIVITY,,,,"Lipid Metabolism, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus"
GOMF_PHOSPHATIDYLINOSITOL_3_4_5_TRISPHOSPHATE_3_PHOSPHATASE_ACTIVITY,GO:0016314,molecular_function,GO:0003674,"Lipid Metabolism, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking"
GOMF_ACETYLTRANSFERASE_ACTIVITY,GO:0016407,molecular_function,GO:0003674,"Epigenetic Regulation, Protein Metabolism and Trafficking, Signal Transduction, Transcription and Translation Machinery, Mitochondrial Function and Metabolism"
GOMF_C_ACYLTRANSFERASE_ACTIVITY,GO:0016408,,,"Protein Metabolism and Trafficking, Lipid Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Epigenetic Regulation"
GOMF_N_ACYLTRANSFERASE_ACTIVITY,GO:0016410,molecular_function,GO:0003674,"Protein Metabolism and Trafficking, Lipid Metabolism, Epigenetic Regulation, Molecular Transport and Homeostasis, Signal Transduction"
GOMF_TRNA_GUANINE_METHYLTRANSFERASE_ACTIVITY,GO:0016423,molecular_function,GO:0003674,"Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, RNA Metabolism, Molecular Transport and Homeostasis"
GOMF_C_ACETYLTRANSFERASE_ACTIVITY,GO:0016453,molecular_function,GO:0003674,"Epigenetic Regulation, Protein Metabolism and Trafficking, Lipid Metabolism, Transcription and Translation Machinery, Molecular Transport and Homeostasis"
GOMF_C_PALMITOYLTRANSFERASE_ACTIVITY,GO:0016454,,,"Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Epigenetic Regulation"
GOMF_OXIDOREDUCTASE_ACTIVITY,GO:0016491,molecular_function,GO:0003674,"Mitochondrial Function and Metabolism, Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction"
GOMF_C_C_CHEMOKINE_RECEPTOR_ACTIVITY,,,,"Immune System and Inflammation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Cell Adhesion and Interaction"
GOMF_PROTEIN_HORMONE_RECEPTOR_ACTIVITY,GO:0016500,molecular_function,GO:0003674,"Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Immune System and Inflammation"
GOMF_NUCLEOTIDE_RECEPTOR_ACTIVITY,GO:0016502,,,"Signal Transduction, Molecular Transport and Homeostasis, RNA Metabolism, Response to Stimulus, Mitochondrial Function and Metabolism"
GOMF_PHEROMONE_RECEPTOR_ACTIVITY,GO:0016503,molecular_function,GO:0003674,"Signal Transduction, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation"
GOMF_METALLOCHAPERONE_ACTIVITY,GO:0016530,molecular_function,GO:0003674,"Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics"
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_CH_OH_GROUP_OF_DONORS,GO:0016614,molecular_function,GO:0003674,"Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus"
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_ALDEHYDE_OR_OXO_GROUP_OF_DONORS_NAD_OR_NADP_AS_ACCEPTOR,,,,"Mitochondrial Function and Metabolism, Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus"
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_ALDEHYDE_OR_OXO_GROUP_OF_DONORS_DISULFIDE_AS_ACCEPTOR,GO:0016624,molecular_function,GO:0003674,"Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus"
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_CH_GROUP_OF_DONORS_NAD_OR_NADP_AS_ACCEPTOR,GO:0016628,molecular_function,GO:0003674,"Mitochondrial Function and Metabolism, Lipid Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus"
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_NH_GROUP_OF_DONORS,GO:0016645,molecular_function,GO:0003674,"Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus"
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_NH_GROUP_OF_DONORS_NAD_OR_NADP_AS_ACCEPTOR,GO:0016646,,,"Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Lipid Metabolism, Response to Stimulus"
