node,nodeID,root node,root node ID,biodomain
positive regulation of B cell tolerance induction,GO:0002663,biological_process,GO:0008150,"Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy"
regulation of T cell tolerance induction,GO:0002664,biological_process,GO:0008150,"Immune Response, Apoptosis, Epigenetic, Autophagy, Cell Cycle"
positive regulation of T cell tolerance induction,GO:0002666,biological_process,GO:0008150,"Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle"
regulation of T cell anergy,GO:0002667,biological_process,GO:0008150,"Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress"
positive regulation of T cell anergy,GO:0002669,biological_process,GO:0008150,"Immune Response, Apoptosis, Autophagy, Proteostasis, Cell Cycle"
regulation of acute inflammatory response,GO:0002673,biological_process,GO:0008150,"Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy"
negative regulation of acute inflammatory response,GO:0002674,biological_process,GO:0008150,"Immune Response, Endolysosome, Autophagy, Apoptosis, Oxidative Stress"
positive regulation of acute inflammatory response,GO:0002675,biological_process,GO:0008150,"Immune Response, Oxidative Stress, Apoptosis, Autophagy, Vasculature"
regulation of chronic inflammatory response,GO:0002676,biological_process,GO:0008150,"Immune Response, Oxidative Stress, Autophagy, Proteostasis, Endolysosome"
negative regulation of chronic inflammatory response,GO:0002677,biological_process,GO:0008150,"Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis"
positive regulation of chronic inflammatory response,GO:0002678,biological_process,GO:0008150,"Immune Response, Oxidative Stress, Apoptosis, Autophagy, Vasculature"
respiratory burst involved in defense response,GO:0002679,biological_process,GO:0008150,"Immune Response, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis"
regulation of immune system process,GO:0002682,biological_process,GO:0008150,"Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome"
negative regulation of immune system process,GO:0002683,biological_process,GO:0008150,"Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress"
positive regulation of immune system process,GO:0002684,biological_process,GO:0008150,"Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis"
regulation of leukocyte migration,GO:0002685,biological_process,GO:0008150,"Immune Response, Vasculature, Structural Stabilization, Cell Cycle, Endolysosome"
negative regulation of leukocyte migration,GO:0002686,biological_process,GO:0008150,"Immune Response, Vasculature, Proteostasis, Apoptosis, Autophagy"
positive regulation of leukocyte migration,GO:0002687,biological_process,GO:0008150,"Immune Response, Vasculature, Structural Stabilization, Endolysosome, Apoptosis"
negative regulation of leukocyte chemotaxis,GO:0002689,biological_process,GO:0008150,"Immune Response, Vasculature, Endolysosome, Autophagy, Apoptosis"
positive regulation of leukocyte chemotaxis,GO:0002690,biological_process,GO:0008150,"Immune Response, Oxidative Stress, Autophagy, Proteostasis, Endolysosome"
regulation of cellular extravasation,GO:0002691,biological_process,GO:0008150,"Immune Response, Vasculature, Structural Stabilization, Apoptosis, Autophagy"
negative regulation of cellular extravasation,GO:0002692,biological_process,GO:0008150,"Immune Response, Vasculature, Structural Stabilization, Proteostasis, Endolysosome"
positive regulation of cellular extravasation,GO:0002693,biological_process,GO:0008150,"Immune Response, Vasculature, Structural Stabilization, Endolysosome, Apoptosis"
negative regulation of leukocyte activation,GO:0002695,biological_process,GO:0008150,"Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress"
positive regulation of leukocyte activation,GO:0002696,biological_process,GO:0008150,"Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy"
positive regulation of immune effector process,GO:0002699,biological_process,GO:0008150,"Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis"
regulation of production of molecular mediator of immune response,GO:0002700,biological_process,GO:0008150,"Immune Response, Epigenetic, Proteostasis, Autophagy, Lipid Metabolism"
regulation of lymphocyte mediated immunity,GO:0002706,biological_process,GO:0008150,"Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome"
positive regulation of lymphocyte mediated immunity,GO:0002708,biological_process,GO:0008150,"Immune Response, Endolysosome, Apoptosis, Autophagy, Oxidative Stress"
regulation of T cell mediated immunity,GO:0002709,biological_process,GO:0008150,"Immune Response, Apoptosis, Autophagy, Cell Cycle, Oxidative Stress"
negative regulation of T cell mediated immunity,GO:0002710,biological_process,GO:0008150,"Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome"
positive regulation of T cell mediated immunity,GO:0002711,biological_process,GO:0008150,"Immune Response, Endolysosome, Apoptosis, Autophagy, Proteostasis"
regulation of natural killer cell mediated immunity,GO:0002715,biological_process,GO:0008150,"Immune Response, Apoptosis, Autophagy, Endolysosome, Oxidative Stress"
positive regulation of natural killer cell mediated immunity,GO:0002717,biological_process,GO:0008150,"Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis"
regulation of cytokine production involved in immune response,GO:0002718,biological_process,GO:0008150,"Immune Response, Proteostasis, Epigenetic, Autophagy, Apoptosis"
negative regulation of cytokine production involved in immune response,GO:0002719,biological_process,GO:0008150,"Immune Response, Epigenetic, Proteostasis, Autophagy, Apoptosis"
positive regulation of cytokine production involved in immune response,GO:0002720,biological_process,GO:0008150,"Immune Response, Proteostasis, Cell Cycle, Apoptosis, Oxidative Stress"
regulation of B cell cytokine production,GO:0002721,biological_process,GO:0008150,"Immune Response, Autophagy, Proteostasis, Apoptosis, Endolysosome"
regulation of T cell cytokine production,GO:0002724,biological_process,GO:0008150,"Immune Response, Proteostasis, Autophagy, Apoptosis, Cell Cycle"
negative regulation of T cell cytokine production,GO:0002725,biological_process,GO:0008150,"Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress"
positive regulation of T cell cytokine production,GO:0002726,biological_process,GO:0008150,"Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome"
regulation of natural killer cell cytokine production,GO:0002727,biological_process,GO:0008150,"Immune Response, Epigenetic, Proteostasis, Autophagy, Oxidative Stress"
negative regulation of natural killer cell cytokine production,GO:0002728,biological_process,GO:0008150,"ERROR: Error code: 400 - {'error': {'message': ""The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again."", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}"
positive regulation of natural killer cell cytokine production,GO:0002729,biological_process,GO:0008150,"ERROR: Error code: 400 - {'error': {'message': ""The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again."", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}"
regulation of dendritic cell cytokine production,GO:0002730,biological_process,GO:0008150,"Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome"
negative regulation of dendritic cell cytokine production,GO:0002731,biological_process,GO:0008150,"Immune Response, Epigenetic, Proteostasis, Autophagy, Apoptosis"
positive regulation of dendritic cell cytokine production,GO:0002732,biological_process,GO:0008150,"Immune Response, Epigenetic, Autophagy, Proteostasis, Cell Cycle"
positive regulation of myeloid dendritic cell cytokine production,GO:0002735,biological_process,GO:0008150,"ERROR: Error code: 400 - {'error': {'message': ""The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again."", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}"
negative regulation of plasmacytoid dendritic cell cytokine production,GO:0002737,biological_process,GO:0008150,"Immune Response  
Proteostasis  
Autophagy  
Apoptosis  
Epigenetic"
antigen processing and presentation following phagocytosis,GO:0002747,biological_process,GO:0008150,"Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis"
cell surface pattern recognition receptor signaling pathway,GO:0002752,biological_process,GO:0008150,"Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis"
cytoplasmic pattern recognition receptor signaling pathway,GO:0002753,biological_process,GO:0008150,"Immune Response, Innate Immune Response, Defense Response, Response to External Stimulus, Pathogen Response"
MyD88-dependent toll-like receptor signaling pathway,GO:0002755,biological_process,GO:0008150,"Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis"
MyD88-independent toll-like receptor signaling pathway,GO:0002756,biological_process,GO:0008150,"Immune Response, Innate Immune Response, Pattern Recognition Receptor Signaling, Defense Response to Pathogen, Signal Transduction"
immune response-activating signaling pathway,GO:0002757,biological_process,GO:0008150,"Immune Response, Apoptosis, Endolysosome, Autophagy, Cell Cycle"
innate immune response-activating signaling pathway,GO:0002758,biological_process,GO:0008150,"Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy"
regulation of antimicrobial humoral response,GO:0002759,biological_process,GO:0008150,"Immune Response, Defense Response to Pathogen, Response to External Stimulus, Regulation of Defense Response, Antimicrobial Response"
positive regulation of antimicrobial humoral response,GO:0002760,biological_process,GO:0008150,"Immune Response, Endolysosome, Oxidative Stress, Autophagy, Apoptosis"
regulation of myeloid leukocyte differentiation,GO:0002761,biological_process,GO:0008150,"Immune Response, Epigenetic, Cell Cycle, Apoptosis, Autophagy"
negative regulation of myeloid leukocyte differentiation,GO:0002762,biological_process,GO:0008150,"Immune Response, Cell Cycle, Epigenetic, Apoptosis, Autophagy"
positive regulation of myeloid leukocyte differentiation,GO:0002763,biological_process,GO:0008150,"Immune Response, Epigenetic, Cell Cycle, Apoptosis, Autophagy"
immune response-regulating signaling pathway,GO:0002764,biological_process,GO:0008150,"Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis"
immune response-inhibiting signal transduction,GO:0002765,biological_process,GO:0008150,"Immune Response, Endolysosome, Autophagy, Apoptosis, Oxidative Stress"
immune response-inhibiting cell surface receptor signaling pathway,GO:0002767,biological_process,GO:0008150,"Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome"
immune response-regulating cell surface receptor signaling pathway,GO:0002768,biological_process,GO:0008150,"Immune Response, Unknown, Proteostasis, Autophagy, Endolysosome"
natural killer cell inhibitory signaling pathway,GO:0002769,biological_process,GO:0008150,"Immune Response, Synapse, Apoptosis, Autophagy, Oxidative Stress"
Fc receptor mediated inhibitory signaling pathway,GO:0002774,biological_process,GO:0008150,"Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome"
antibacterial peptide secretion,GO:0002779,biological_process,GO:0008150,"Immune Response, Proteostasis, Endolysosome, Oxidative Stress, Apoptosis"
antibacterial peptide biosynthetic process,GO:0002780,biological_process,GO:0008150,"Immune Response, Defense Response, Proteostasis, Oxidative Stress, Autophagy"
regulation of antibacterial peptide production,GO:0002786,biological_process,GO:0008150,"Immune Response, Epigenetic, Oxidative Stress, Autophagy, Apoptosis"
negative regulation of antibacterial peptide production,GO:0002787,biological_process,GO:0008150,"Immune Response, Proteostasis, Endolysosome, Autophagy, Oxidative Stress"
peptide secretion,GO:0002790,biological_process,GO:0008150,"Proteostasis, Synapse, Immune Response, Endolysosome, APP Metabolism"
negative regulation of peptide secretion,GO:0002792,biological_process,GO:0008150,"Proteostasis, Synapse, Endolysosome, Immune Response, Vasculature"
positive regulation of peptide secretion,GO:0002793,biological_process,GO:0008150,"Proteostasis, Endolysosome, Immune Response, Autophagy, Synapse"
positive regulation of antibacterial peptide production,GO:0002803,biological_process,GO:0008150,"Immune Response, Proteostasis, Autophagy, Oxidative Stress, Endolysosome"
biosynthetic process of antibacterial peptides active against Gram-negative bacteria,GO:0002812,biological_process,GO:0008150,"Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis"
regulation of adaptive immune response,GO:0002819,biological_process,GO:0008150,"Immune Response, Apoptosis, Autophagy, Endolysosome, Oxidative Stress"
negative regulation of adaptive immune response,GO:0002820,biological_process,GO:0008150,"Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress"
positive regulation of adaptive immune response,GO:0002821,biological_process,GO:0008150,"Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis"
regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,GO:0002822,biological_process,GO:0008150,"Immune Response, DNA Repair, Epigenetic, Autophagy, Apoptosis"
positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,GO:0002824,biological_process,GO:0008150,"Immune Response, Apoptosis, Autophagy, Cell Cycle, Oxidative Stress"
negative regulation of T-helper 1 type immune response,GO:0002826,biological_process,GO:0008150,"Immune Response, Apoptosis, Autophagy, Cell Cycle, Oxidative Stress"
positive regulation of T-helper 1 type immune response,GO:0002827,biological_process,GO:0008150,"Immune Response, Autophagy, Apoptosis, Proteostasis, Endolysosome"
regulation of type 2 immune response,GO:0002828,biological_process,GO:0008150,"Immune Response, Apoptosis, Autophagy, Endolysosome, Oxidative Stress"
negative regulation of type 2 immune response,GO:0002829,biological_process,GO:0008150,"Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy"
positive regulation of type 2 immune response,GO:0002830,biological_process,GO:0008150,"Immune Response, Apoptosis, Autophagy, Endolysosome, Oxidative Stress"
regulation of response to tumor cell,GO:0002834,biological_process,GO:0008150,"Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome"
negative regulation of immune response to tumor cell,GO:0002838,biological_process,GO:0008150,"Immune Response, Apoptosis, Autophagy, Oxidative Stress, Mitochondrial Metabolism"
positive regulation of immune response to tumor cell,GO:0002839,biological_process,GO:0008150,"Immune Response, Apoptosis, Autophagy, Endolysosome, Oxidative Stress"
regulation of T cell mediated immune response to tumor cell,GO:0002840,biological_process,GO:0008150,"Immune Response, Apoptosis, Endolysosome, Autophagy, Oxidative Stress"
negative regulation of T cell mediated immune response to tumor cell,GO:0002841,biological_process,GO:0008150,"Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy"
positive regulation of T cell mediated immune response to tumor cell,GO:0002842,biological_process,GO:0008150,"Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis"
regulation of T cell tolerance induction to tumor cell,GO:0002846,biological_process,GO:0008150,"Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome"
positive regulation of peripheral T cell tolerance induction,GO:0002851,biological_process,GO:0008150,"Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome"
positive regulation of T cell mediated cytotoxicity directed against tumor cell target,GO:0002854,biological_process,GO:0008150,"ERROR: Error code: 400 - {'error': {'message': ""The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again."", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}"
positive regulation of natural killer cell mediated immune response to tumor cell,GO:0002857,biological_process,GO:0008150,"Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis"
negative regulation of natural killer cell mediated cytotoxicity directed against tumor cell target,GO:0002859,biological_process,GO:0008150,"ERROR: Error code: 400 - {'error': {'message': ""The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again."", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}"
positive regulation of natural killer cell mediated cytotoxicity directed against tumor cell target,GO:0002860,biological_process,GO:0008150,"ERROR: Error code: 400 - {'error': {'message': ""The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again."", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}"
negative regulation of inflammatory response to antigenic stimulus,GO:0002862,biological_process,GO:0008150,"Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy"
positive regulation of inflammatory response to antigenic stimulus,GO:0002863,biological_process,GO:0008150,"Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis"
regulation of acute inflammatory response to antigenic stimulus,GO:0002864,biological_process,GO:0008150,"Immune Response, Oxidative Stress, Autophagy, Endolysosome, Lipid Metabolism"
negative regulation of acute inflammatory response to antigenic stimulus,GO:0002865,biological_process,GO:0008150,"Immune Response, Oxidative Stress, Endolysosome, Autophagy, Apoptosis"
positive regulation of acute inflammatory response to antigenic stimulus,GO:0002866,biological_process,GO:0008150,"Immune Response, Oxidative Stress, Autophagy, Proteostasis, Apoptosis"
T cell anergy,GO:0002870,biological_process,GO:0008150,"Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis"
negative regulation of chronic inflammatory response to antigenic stimulus,GO:0002875,biological_process,GO:0008150,"Immune Response, Oxidative Stress, Apoptosis, Autophagy, Endolysosome"
positive regulation of chronic inflammatory response to antigenic stimulus,GO:0002876,biological_process,GO:0008150,"Immune Response, Oxidative Stress, Endolysosome, Autophagy, Proteostasis"
positive regulation of acute inflammatory response to non-antigenic stimulus,GO:0002879,biological_process,GO:0008150,"Immune Response, Oxidative Stress, Endolysosome, Autophagy, Vasculature"
positive regulation of chronic inflammatory response to non-antigenic stimulus,GO:0002882,biological_process,GO:0008150,"Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome"
positive regulation of hypersensitivity,GO:0002885,biological_process,GO:0008150,"Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis"
positive regulation of immunoglobulin mediated immune response,GO:0002891,biological_process,GO:0008150,"Immune Response, Endolysosome, Apoptosis, Autophagy, Proteostasis"
positive regulation of central B cell tolerance induction,GO:0002897,biological_process,GO:0008150,"Immune Response, Apoptosis, Cell Cycle, Epigenetic, Autophagy"
mature B cell apoptotic process,GO:0002901,biological_process,GO:0008150,"Apoptosis, Immune Response, Cell Cycle, Autophagy, Proteostasis"
regulation of B cell apoptotic process,GO:0002902,biological_process,GO:0008150,"Apoptosis, Immune Response, Cell Cycle, Autophagy, Endolysosome"
negative regulation of B cell apoptotic process,GO:0002903,biological_process,GO:0008150,"Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy"
positive regulation of B cell apoptotic process,GO:0002904,biological_process,GO:0008150,"Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy"
negative regulation of mature B cell apoptotic process,GO:0002906,biological_process,GO:0008150,"Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy"
regulation of humoral immune response,GO:0002920,biological_process,GO:0008150,"Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis"
positive regulation of humoral immune response,GO:0002922,biological_process,GO:0008150,"Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome"
regulation of humoral immune response mediated by circulating immunoglobulin,GO:0002923,biological_process,GO:0008150,"Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis"
negative regulation of humoral immune response mediated by circulating immunoglobulin,GO:0002924,biological_process,GO:0008150,"Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome"
positive regulation of humoral immune response mediated by circulating immunoglobulin,GO:0002925,biological_process,GO:0008150,"Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome"
tRNA wobble base 5-methoxycarbonylmethyl-2-thiouridinylation,GO:0002926,biological_process,GO:0008150,"RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism, Unknown"
trabecular meshwork development,GO:0002930,biological_process,GO:0008150,"Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic"
response to ischemia,GO:0002931,biological_process,GO:0008150,"Oxidative Stress, Apoptosis, Vasculature, Immune Response, Mitochondrial Metabolism"
lipid hydroxylation,GO:0002933,biological_process,GO:0008150,"Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy"
desmosome organization,GO:0002934,biological_process,GO:0008150,"Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Autophagy"
bradykinin biosynthetic process,GO:0002936,biological_process,GO:0008150,"Proteostasis, Immune Response, Vasculature, Oxidative Stress, Lipid Metabolism"
tRNA N1-guanine methylation,GO:0002939,biological_process,GO:0008150,"RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism, Unknown"
tRNA N2-guanine methylation,GO:0002940,biological_process,GO:0008150,"Mitochondrial Metabolism, RNA Spliceosome, Epigenetic, Proteostasis, Lipid Metabolism"
tRNA dihydrouridine synthesis,GO:0002943,biological_process,GO:0008150,"Mitochondrial Metabolism, RNA Spliceosome, Metal Binding and Homeostasis, Epigenetic, Unknown"
cyclin K-CDK12 complex,GO:0002944,cellular_component,GO:0005575,"Cell Cycle, Proteostasis, Epigenetic, DNA Repair, Autophagy"
cyclin K-CDK13 complex,GO:0002945,cellular_component,GO:0005575,"Cell Cycle, Epigenetic, Proteostasis, Apoptosis, Autophagy"
tRNA C5-cytosine methylation,GO:0002946,biological_process,GO:0008150,"Epigenetic, RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Unknown"
tumor necrosis factor receptor superfamily complex,GO:0002947,cellular_component,GO:0005575,"Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome"
tRNA threonylcarbamoyladenosine modification,GO:0002949,biological_process,GO:0008150,"RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress"
ceramide phosphoethanolamine synthase activity,GO:0002950,molecular_function,GO:0003674,"Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization, Proteostasis"
leukotriene-C(4) hydrolase,GO:0002951,molecular_function,GO:0003674,"Immune Response, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy"
5'-deoxynucleotidase activity,GO:0002953,molecular_function,GO:0003674,"Mitochondrial Metabolism, DNA Repair, Cell Cycle, Oxidative Stress, Proteostasis"
regionalization,GO:0003002,biological_process,GO:0008150,"Cell Cycle, Structural Stabilization, Vasculature, Myelination, Synapse"
developmental process involved in reproduction,GO:0003006,biological_process,GO:0008150,"Cell Cycle, Epigenetic, DNA Repair, Apoptosis, Unknown"
heart morphogenesis,GO:0003007,biological_process,GO:0008150,"Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Mitochondrial Metabolism"
system process,GO:0003008,biological_process,GO:0008150,"Vasculature, Immune Response, Mitochondrial Metabolism, Proteostasis, Endolysosome"
skeletal muscle contraction,GO:0003009,biological_process,GO:0008150,"Structural Stabilization, Synapse, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism"
involuntary skeletal muscle contraction,GO:0003011,biological_process,GO:0008150,"Synapse, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Structural Stabilization"
muscle system process,GO:0003012,biological_process,GO:0008150,"Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Structural Stabilization"
circulatory system process,GO:0003013,biological_process,GO:0008150,"Vasculature, Immune Response, Lipid Metabolism, Structural Stabilization, Oxidative Stress"
renal system process,GO:0003014,biological_process,GO:0008150,"Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Oxidative Stress, Immune Response"
heart process,GO:0003015,biological_process,GO:0008150,"Vasculature, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism"
respiratory system process,GO:0003016,biological_process,GO:0008150,"Mitochondrial Metabolism, Oxidative Stress, Vasculature, Lipid Metabolism, Immune Response"
lymph circulation,GO:0003017,biological_process,GO:0008150,"Vasculature, Immune Response, Lipid Metabolism, Endolysosome, Autophagy"
vascular process in circulatory system,GO:0003018,biological_process,GO:0008150,"Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Endolysosome"
regulation of systemic arterial blood pressure by baroreceptor feedback,GO:0003025,biological_process,GO:0008150,"Vasculature, Synapse, Structural Stabilization, Oxidative Stress, Lipid Metabolism"
regulation of systemic arterial blood pressure by aortic arch baroreceptor feedback,GO:0003026,biological_process,GO:0008150,"Vasculature, Structural Stabilization, Synapse, Immune Response, Lipid Metabolism"
detection of hypoxic conditions in blood by carotid body chemoreceptor signaling,GO:0003029,biological_process,GO:0008150,"Oxidative Stress, Vasculature, Mitochondrial Metabolism, Synapse, Immune Response"
detection of oxygen,GO:0003032,biological_process,GO:0008150,"Oxidative Stress, Mitochondrial Metabolism, Vasculature, Apoptosis, Immune Response"
regulation of systemic arterial blood pressure mediated by a chemical signal,GO:0003044,biological_process,GO:0008150,ERROR: Expecting value: line 10 column 1 (char 9)
regulation of systemic arterial blood pressure by atrial natriuretic peptide,GO:0003050,biological_process,GO:0008150,"Vasculature, Unknown, Immune Response, Lipid Metabolism, Oxidative Stress"
angiotensin-mediated drinking behavior,GO:0003051,biological_process,GO:0008150,"Vasculature, Synapse, Oxidative Stress, Epigenetic, Immune Response"
regulation of vascular associated smooth muscle contraction,GO:0003056,biological_process,GO:0008150,"Vasculature, Structural Stabilization, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis"
regulation of the force of heart contraction by chemical signal,GO:0003057,biological_process,GO:0008150,"Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism"
hormonal regulation of the force of heart contraction,GO:0003058,biological_process,GO:0008150,"Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress"
regulation of heart rate by chemical signal,GO:0003062,biological_process,GO:0008150,"Vasculature, Immune Response, Oxidative Stress, Lipid Metabolism, Proteostasis"
regulation of heart rate by hormone,GO:0003064,biological_process,GO:0008150,"Vasculature, Proteostasis, Immune Response, Endolysosome, Autophagy"
positive regulation of heart rate by epinephrine,GO:0003065,biological_process,GO:0008150,"Vasculature, Lipid Metabolism, Epigenetic, Oxidative Stress, Proteostasis"
acetylcholine-mediated vasodilation involved in regulation of systemic arterial blood pressure,GO:0003069,biological_process,GO:0008150,"Vasculature, Synapse, Structural Stabilization, Immune Response, Lipid Metabolism"
renal system process involved in regulation of systemic arterial blood pressure,GO:0003071,biological_process,GO:0008150,"Vasculature, Unknown, Oxidative Stress, Lipid Metabolism, Immune Response"
regulation of systemic arterial blood pressure,GO:0003073,biological_process,GO:0008150,"Vasculature, Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis"
regulation of systemic arterial blood pressure by renin-angiotensin,GO:0003081,biological_process,GO:0008150,"Vasculature, Endocrine Process, Blood Circulation, Hormone, Immune Response"
positive regulation of systemic arterial blood pressure,GO:0003084,biological_process,GO:0008150,"Vasculature, Oxidative Stress, Immune Response, Metal Binding and Homeostasis, Epigenetic"
negative regulation of systemic arterial blood pressure,GO:0003085,biological_process,GO:0008150,"Vasculature, Oxidative Stress, Immune Response, Proteostasis, Lipid Metabolism"
renal water homeostasis,GO:0003091,biological_process,GO:0008150,"Vasculature, Endolysosome, Proteostasis, Lipid Metabolism, Immune Response"
renal water retention,GO:0003092,biological_process,GO:0008150,"Vasculature, Structural Stabilization, Immune Response, Endolysosome, Proteostasis"
regulation of glomerular filtration,GO:0003093,biological_process,GO:0008150,"Vasculature, Immune Response, Lipid Metabolism, Proteostasis, Oxidative Stress"
glomerular filtration,GO:0003094,biological_process,GO:0008150,"Vasculature, Structural Stabilization, Unknown, Immune Response, Proteostasis"
pressure natriuresis,GO:0003095,biological_process,GO:0008150,"Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis"
renal sodium ion transport,GO:0003096,biological_process,GO:0008150,"Metal Binding and Homeostasis, Vasculature, Endolysosome, Proteostasis, Lipid Metabolism"
renal water transport,GO:0003097,biological_process,GO:0008150,"Vasculature, Water Transport, Homeostasis, Metal Binding and Homeostasis, Structural Stabilization"
positive regulation of the force of heart contraction by chemical signal,GO:0003099,biological_process,GO:0008150,"Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Oxidative Stress"
regulation of systemic arterial blood pressure by endothelin,GO:0003100,biological_process,GO:0008150,"Vasculature, Endolysosome, Proteostasis, Oxidative Stress, Immune Response"
positive regulation of glomerular filtration,GO:0003104,biological_process,GO:0008150,"Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Immune Response"
