node,nodeID,root node,root node ID,biodomain
GOBP_RENAL_SODIUM_EXCRETION,GO:0035812,biological_process,GO:0008150,"Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking"
GOBP_HOMOLOGOUS_RECOMBINATION,GO:0035825,biological_process,GO:0008150,"DNA Repair, Transcription and Translation Machinery, Signal Transduction, Cell Cycle, Molecular Transport and Homeostasis"
GOBP_NAIL_DEVELOPMENT,GO:0035878,biological_process,GO:0008150,"System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Epigenetic Regulation, Response to Stimulus"
GOBP_ASCENDING_AORTA_DEVELOPMENT,GO:0035905,biological_process,GO:0008150,"System and Developmental Process, Signal Transduction, Cell Cycle, Structural Stabilization, Cell Adhesion and Interaction"
GOBP_DORSAL_AORTA_DEVELOPMENT,GO:0035907,biological_process,GO:0008150,"System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Signal Transduction"
GOBP_AORTA_MORPHOGENESIS,GO:0035909,biological_process,GO:0008150,"System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Molecular Transport and Homeostasis, Response to Stimulus"
GOBP_DORSAL_AORTA_MORPHOGENESIS,GO:0035912,biological_process,GO:0008150,"System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Response to Stimulus"
GOBP_SKELETAL_MUSCLE_CELL_DIFFERENTIATION,GO:0035914,biological_process,GO:0008150,"System and Developmental Process, Transcription and Translation Machinery, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization"
GOBP_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN,GO:0035966,biological_process,GO:0008150,"Response to Stimulus, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Autophagy, Signal Transduction"
GOBP_ALPHA_LINOLENIC_ACID_METABOLIC_PROCESS,GO:0036109,biological_process,GO:0008150,"Lipid Metabolism, Mitochondrial Function and Metabolism, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process"
GOBP_RNA_GUANINE_N7_METHYLATION,GO:0036265,biological_process,GO:0008150,"RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking"
GOBP_CELLULAR_RESPONSE_TO_INCREASED_OXYGEN_LEVELS,GO:0036295,biological_process,GO:0008150,"Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, Mitochondrial Function and Metabolism, System and Developmental Process"
GOBP_RESPONSE_TO_INCREASED_OXYGEN_LEVELS,GO:0036296,biological_process,GO:0008150,"Response to Stimulus, Mitochondrial Function and Metabolism, Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis"
GOBP_INTERSTRAND_CROSS_LINK_REPAIR,GO:0036297,biological_process,GO:0008150,"DNA Repair, Response to Stimulus, Cell Cycle, Signal Transduction, System and Developmental Process"
GOBP_SODIUM_ION_EXPORT_ACROSS_PLASMA_MEMBRANE,GO:0036376,biological_process,GO:0008150,"Molecular Transport and Homeostasis, Signal Transduction, Structural Stabilization, System and Developmental Process, Response to Stimulus"
GOBP_IRE1_MEDIATED_UNFOLDED_PROTEIN_RESPONSE,GO:0036498,biological_process,GO:0008150,"Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery"
GOBP_ERAD_PATHWAY,GO:0036503,biological_process,GO:0008150,"Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process"
GOBP_REGULATION_OF_VIRAL_INDUCED_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY,GO:0039531,biological_process,GO:0008150,"Immune System and Inflammation, Signal Transduction, Response to Stimulus, Epigenetic Regulation, Transcription and Translation Machinery"
GOBP_NEGATIVE_REGULATION_OF_VIRAL_INDUCED_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY,GO:0039532,biological_process,GO:0008150,"Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Protein Metabolism and Trafficking"
GOBP_REGULATION_OF_GROWTH,GO:0040008,biological_process,GO:0008150,"System and Developmental Process, Cell Cycle, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Response to Stimulus"
GOBP_SNRNA_MODIFICATION,GO:0040031,biological_process,GO:0008150,"RNA Metabolism, Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Response to Stimulus"
GOBP_PROTEIN_REFOLDING,GO:0042026,biological_process,GO:0008150,"Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism"
GOBP_FLUID_TRANSPORT,GO:0042044,biological_process,GO:0008150,"Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, System and Developmental Process, Response to Stimulus"
GOBP_EPITHELIAL_FLUID_TRANSPORT,GO:0042045,biological_process,GO:0008150,"Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction"
GOBP_NEGATIVE_REGULATION_OF_EPIDERMAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,GO:0042059,biological_process,GO:0008150,"Signal Transduction, Response to Stimulus, Cell Cycle, System and Developmental Process, Immune System and Inflammation"
GOBP_REGULATION_OF_CATECHOLAMINE_METABOLIC_PROCESS,GO:0042069,biological_process,GO:0008150,"Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process"
GOBP_STRAND_INVASION,GO:0042148,biological_process,GO:0008150,"DNA Repair, Cell Cycle, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus"
GOBP_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS,GO:0042176,biological_process,GO:0008150,"Protein Metabolism and Trafficking, Autophagy, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction"
GOBP_RIBOSOME_BIOGENESIS,GO:0042254,biological_process,GO:0008150,"Protein Metabolism and Trafficking, RNA Metabolism, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization"
