Running with TEMP=0.0, sub_array_index=52
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 52: rows 2550 to 2599
GO Term: Gocc Dna Packaging Complex -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Gocc Plasma Membrane Raft -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gocc Chitosome -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gocc Apical Part Of Cell -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Structural Stabilization, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gocc Basal Part Of Cell -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, System and Developmental Process, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gocc Basal Cortex -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Response to Stimulus
GO Term: Gocc Mrna Editing Complex -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gocc Clathrin Coated Endocytic Vesicle -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Structural Stabilization, Cell Adhesion and Interaction, Protein Metabolism and Trafficking
GO Term: Gocc Phagocytic Vesicle -> Biodomain: Immune System and Inflammation, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Response to Stimulus, Autophagy
GO Term: Gocc Pole Plasm -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gocc Intercellular Canaliculus -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
