node,nodeID,root node,root node ID,biodomain
mitochondrial genome maintenance,GO:0000002,biological_process,GO:0008150,"Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown, Apoptosis"
"alpha-1,6-mannosyltransferase activity",GO:0000009,molecular_function,GO:0003674,"Unknown, Synapse, Proteostasis, Oxidative Stress, Autophagy"
single strand break repair,GO:0000012,biological_process,GO:0008150,"DNA Repair, Unknown, Epigenetic, Autophagy, Proteostasis"
single-stranded DNA endodeoxyribonuclease activity,GO:0000014,molecular_function,GO:0003674,"Unknown, DNA Repair, Synapse, Proteostasis, Apoptosis"
phosphopyruvate hydratase complex,GO:0000015,cellular_component,GO:0005575,"Unknown, Proteostasis, Synapse, Oxidative Stress, Mitochondrial Metabolism"
lactase activity,GO:0000016,molecular_function,GO:0003674,"Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism"
alpha-glucoside transport,GO:0000017,biological_process,GO:0008150,"Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism"
regulation of DNA recombination,GO:0000018,biological_process,GO:0008150,"Unknown, Epigenetic, DNA Repair, Synapse, Proteostasis"
regulation of mitotic recombination,GO:0000019,biological_process,GO:0008150,"DNA Repair, Unknown, Epigenetic, Autophagy, Proteostasis"
mitotic spindle elongation,GO:0000022,biological_process,GO:0008150,"Cell Cycle, Unknown, Apoptosis, Proteostasis, Synapse"
maltose metabolic process,GO:0000023,biological_process,GO:0008150,"Unknown, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse"
maltose catabolic process,GO:0000025,biological_process,GO:0008150,"Unknown, Proteostasis, Synapse, Oxidative Stress, Mitochondrial Metabolism"
"alpha-1,2-mannosyltransferase activity",GO:0000026,molecular_function,GO:0003674,"Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome"
ribosomal large subunit assembly,GO:0000027,biological_process,GO:0008150,"Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress"
ribosomal small subunit assembly,GO:0000028,biological_process,GO:0008150,"Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress"
mannosyltransferase activity,GO:0000030,molecular_function,GO:0003674,"Synapse, Proteostasis, Unknown, Oxidative Stress, RNA Spliceosome"
"alpha-1,3-mannosyltransferase activity",GO:0000033,molecular_function,GO:0003674,"Unknown, Synapse, Proteostasis, Oxidative Stress, RNA Spliceosome"
acyl binding,GO:0000035,molecular_function,GO:0003674,"Unknown, Lipid Metabolism, Proteostasis, Synapse, Oxidative Stress"
acyl carrier activity,GO:0000036,molecular_function,GO:0003674,"Synapse, Proteostasis, Oxidative Stress, Unknown, Lipid Metabolism"
very long-chain fatty acid metabolic process,GO:0000038,biological_process,GO:0008150,"Lipid Metabolism, Unknown, Oxidative Stress, Proteostasis, Synapse"
autophagosome assembly,GO:0000045,biological_process,GO:0008150,"Autophagy, Synapse, Proteostasis, Oxidative Stress, Unknown"
peptidyltransferase activity,GO:0000048,molecular_function,GO:0003674,"Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress"
tRNA binding,GO:0000049,molecular_function,GO:0003674,"Synapse, RNA Spliceosome, Proteostasis, Unknown, Oxidative Stress"
urea cycle,GO:0000050,biological_process,GO:0008150,"Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism"
citrulline metabolic process,GO:0000052,biological_process,GO:0008150,"Unknown, Proteostasis, Synapse, Oxidative Stress, Apoptosis"
argininosuccinate metabolic process,GO:0000053,biological_process,GO:0008150,"Unknown, Proteostasis, Synapse, Oxidative Stress, Mitochondrial Metabolism"
ribosomal subunit export from nucleus,GO:0000054,biological_process,GO:0008150,"Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress"
